Datacenter,Datahall,Cabinet
Quebec - Canada,Island 11,X230918
Quebec - Canada,Island 11,X230919
Quebec - Canada,Island 11,X231001
Quebec - Canada,Island 11,X231002
Quebec - Canada,Island 11,X231003
Quebec - Canada,Island 11,X231004
Quebec - Canada,Island 11,X231005
Quebec - Canada,Island 11,X231006
Quebec - Canada,Island 11,X231007
Quebec - Canada,Island 11,X231008
Quebec - Canada,Island 11,X231009
Quebec - Canada,Island 11,X231010
Quebec - Canada,Island 11,X231011
Quebec - Canada,Island 11,X231012
Quebec - Canada,Island 11,X231013
Quebec - Canada,Island 11,X231014
Quebec - Canada,Island 11,X231015
Quebec - Canada,Island 11,X231016
Quebec - Canada,Island 11,X231017
Quebec - Canada,Island 11,X231018
Quebec - Canada,Island 11,X231101
Quebec - Canada,Island 11,X231102
Quebec - Canada,Island 11,X231103
Quebec - Canada,Island 11,X231104
Quebec - Canada,Island 11,X231105
Quebec - Canada,Island 11,X231106
Quebec - Canada,Island 11,X231107
Quebec - Canada,Island 11,X231108
Quebec - Canada,Island 11,X231109
Quebec - Canada,Island 11,X231110
Quebec - Canada,Island 11,X231111
Quebec - Canada,Island 11,X231112
Quebec - Canada,Island 11,X231113
Quebec - Canada,Island 11,X231114
Quebec - Canada,Island 11,X231115
Quebec - Canada,Island 11,X231116
Quebec - Canada,Island 11,X231117
Quebec - Canada,Island 11,X231118
Quebec - Canada,Island 11,X231201
Quebec - Canada,Island 11,X231202
Quebec - Canada,Island 11,X231203
Quebec - Canada,Island 11,X231204
Quebec - Canada,Island 11,X231205
Quebec - Canada,Island 11,X231206
Quebec - Canada,Island 11,X231207
Quebec - Canada,Island 11,X231208
Quebec - Canada,Island 11,X231209
Quebec - Canada,Island 11,X231210
Quebec - Canada,Island 11,X231211
Quebec - Canada,Island 11,X231212
Quebec - Canada,Island 11,X231213
Quebec - Canada,Island 11,X231214
Quebec - Canada,Island 11,X231215
Quebec - Canada,Island 11,X231216
Quebec - Canada,Island 11,X231217
Quebec - Canada,Island 11,X231218
Enebakk - Norway,Island 1,X1118
Enebakk - Norway,Island 1,X1117
Enebakk - Norway,Island 1,X1116
Enebakk - Norway,Island 1,X1115
Enebakk - Norway,Island 1,X1114
Enebakk - Norway,Island 1,X1113
Enebakk - Norway,Island 1,X1112
Enebakk - Norway,Island 1,X1111
Enebakk - Norway,Island 1,X1218
Enebakk - Norway,Island 1,X1217
Enebakk - Norway,Island 1,X1216
Enebakk - Norway,Island 1,X1215
Enebakk - Norway,Island 1,X1214
Enebakk - Norway,Island 1,X1213
Enebakk - Norway,Island 1,X1212
Enebakk - Norway,Island 1,X1211
Enebakk - Norway,Island 1,X1210
Enebakk - Norway,Island 1,X1209
Enebakk - Norway,Island 1,X1110
Enebakk - Norway,Island 1,X1109
Enebakk - Norway,Island 1,X1108
Enebakk - Norway,Island 1,X1107
Enebakk - Norway,Island 1,X1106
Enebakk - Norway,Island 1,X1105
Enebakk - Norway,Island 1,X1104
Enebakk - Norway,Island 1,X1103
Enebakk - Norway,Island 1,X1102
Enebakk - Norway,Island 1,X1101
Enebakk - Norway,Island 1,X1208
Enebakk - Norway,Island 1,X1207
Enebakk - Norway,Island 1,X1206
Enebakk - Norway,Island 1,X1205
Enebakk - Norway,Island 1,X1204
Enebakk - Norway,Island 1,X1203
Enebakk - Norway,Island 1,X1202
Enebakk - Norway,Island 1,X1201
Enebakk - Norway,Island 1,X1318
Enebakk - Norway,Island 1,X1317
Enebakk - Norway,Island 1,X1316
Enebakk - Norway,Island 1,X1315
Enebakk - Norway,Island 1,X1314
Enebakk - Norway,Island 1,X1313
Enebakk - Norway,Island 1,X1312
Enebakk - Norway,Island 1,X1311
Enebakk - Norway,Island 1,X1418
Enebakk - Norway,Island 1,X1417
Enebakk - Norway,Island 1,X1416
Enebakk - Norway,Island 1,X1415
Enebakk - Norway,Island 1,X1414
Enebakk - Norway,Island 1,X1413
Enebakk - Norway,Island 1,X1412
Enebakk - Norway,Island 1,X1411
Enebakk - Norway,Island 1,X1410
Enebakk - Norway,Island 1,X1409
Enebakk - Norway,Island 1,X1310
Enebakk - Norway,Island 1,X1309
Enebakk - Norway,Island 1,X1308
Enebakk - Norway,Island 1,X1307
Enebakk - Norway,Island 1,X1306
Enebakk - Norway,Island 1,X1305
Enebakk - Norway,Island 1,X1304
Enebakk - Norway,Island 1,X1303
Enebakk - Norway,Island 1,X1302
Enebakk - Norway,Island 1,X1301
Enebakk - Norway,Island 1,X1408
Enebakk - Norway,Island 1,X1407
Enebakk - Norway,Island 1,X1406
Enebakk - Norway,Island 1,X1405
Enebakk - Norway,Island 1,X1404
Enebakk - Norway,Island 1,X1403
Enebakk - Norway,Island 1,X1402
Enebakk - Norway,Island 1,X1401
Rjukan - Norway,Island 1,X2101
Rjukan - Norway,Island 1,X2102
Rjukan - Norway,Island 1,X2103
Rjukan - Norway,Island 1,X2104
Rjukan - Norway,Island 1,X2105
Rjukan - Norway,Island 1,X2106
Rjukan - Norway,Island 1,X2107
Rjukan - Norway,Island 1,X2108
Rjukan - Norway,Island 1,X2109
Rjukan - Norway,Island 1,X2110
Rjukan - Norway,Island 1,X2111
Rjukan - Norway,Island 1,X2112
Rjukan - Norway,Island 1,X2113
Rjukan - Norway,Island 1,X2114
Rjukan - Norway,Island 1,X2115
Rjukan - Norway,Island 1,X2116
Rjukan - Norway,Island 1,X2117
Rjukan - Norway,Island 1,X2118
Rjukan - Norway,Island 1,X2201
Rjukan - Norway,Island 1,X2202
Rjukan - Norway,Island 1,X2203
Rjukan - Norway,Island 1,X2204
Rjukan - Norway,Island 1,X2205
Rjukan - Norway,Island 1,X2206
Rjukan - Norway,Island 1,X2207
Rjukan - Norway,Island 1,X2208
Rjukan - Norway,Island 1,X2209
Rjukan - Norway,Island 1,X2210
Rjukan - Norway,Island 1,X2211
Rjukan - Norway,Island 1,X2212
Rjukan - Norway,Island 1,X2213
Rjukan - Norway,Island 1,X2214
Rjukan - Norway,Island 1,X2215
Rjukan - Norway,Island 1,X2216
Rjukan - Norway,Island 1,X2217
Rjukan - Norway,Island 1,X2218
Rjukan - Norway,Island 1,X2301
Rjukan - Norway,Island 1,X2302
Rjukan - Norway,Island 1,X2303
Rjukan - Norway,Island 1,X2304
Rjukan - Norway,Island 1,X2305
Rjukan - Norway,Island 1,X2306
Rjukan - Norway,Island 1,X2307
Rjukan - Norway,Island 1,X2308
Rjukan - Norway,Island 1,X2309
Rjukan - Norway,Island 1,X2310
Rjukan - Norway,Island 1,X2311
Rjukan - Norway,Island 1,X2312
Rjukan - Norway,Island 1,X2313
Rjukan - Norway,Island 1,X2314
Rjukan - Norway,Island 1,X2315
Rjukan - Norway,Island 1,X2316
Rjukan - Norway,Island 1,X2317
Rjukan - Norway,Island 1,X2318
Rjukan - Norway,Island 1,X2319
Rjukan - Norway,Island 1,X2401
Rjukan - Norway,Island 1,X2402
Rjukan - Norway,Island 1,X2403
Rjukan - Norway,Island 1,X2404
Rjukan - Norway,Island 1,X2405
Rjukan - Norway,Island 1,X2406
Rjukan - Norway,Island 1,X2407
Rjukan - Norway,Island 1,X2408
Rjukan - Norway,Island 1,X2409
Rjukan - Norway,Island 1,X2410
Rjukan - Norway,Island 1,X2411
Rjukan - Norway,Island 1,X2412
Rjukan - Norway,Island 1,X2413
Rjukan - Norway,Island 1,X2414
Rjukan - Norway,Island 1,X2415
Rjukan - Norway,Island 1,X2416
Rjukan - Norway,Island 1,X2417
Rjukan - Norway,Island 1,X2418
Dallas - United States,Island 1,X1101
Dallas - United States,Island 1,X1102
Dallas - United States,Island 1,X1103
Dallas - United States,Island 1,X1104
Dallas - United States,Island 1,X1105
Dallas - United States,Island 1,X1106
Dallas - United States,Island 1,X1107
Dallas - United States,Island 1,X1108
Dallas - United States,Island 1,X1109
Dallas - United States,Island 1,X1301
Dallas - United States,Island 1,X1302
Dallas - United States,Island 1,X1303
Dallas - United States,Island 1,X1304
Dallas - United States,Island 1,X1305
Dallas - United States,Island 1,X1306
Dallas - United States,Island 1,X1307
Dallas - United States,Island 1,X1308
Dallas - United States,Island 1,X1309
Dallas - United States,Island 1,AGG1
Dallas - United States,Island 1,X1118
Dallas - United States,Island 1,X1117
Dallas - United States,Island 1,X1116
Dallas - United States,Island 1,X1115
Dallas - United States,Island 1,X1114
Dallas - United States,Island 1,X1113
Dallas - United States,Island 1,X1112
Dallas - United States,Island 1,X1111
Dallas - United States,Island 1,X1110
Dallas - United States,Island 1,X1318
Dallas - United States,Island 1,X1317
Dallas - United States,Island 1,X1316
Dallas - United States,Island 1,X1315
Dallas - United States,Island 1,X1314
Dallas - United States,Island 1,X1313
Dallas - United States,Island 1,X1312
Dallas - United States,Island 1,X1311
Dallas - United States,Island 1,X1310
Dallas - United States,Island 1,X1201
Dallas - United States,Island 1,X1202
Dallas - United States,Island 1,X1203
Dallas - United States,Island 1,X1204
Dallas - United States,Island 1,X1205
Dallas - United States,Island 1,X1206
Dallas - United States,Island 1,X1207
Dallas - United States,Island 1,X1208
Dallas - United States,Island 1,X1209
Dallas - United States,Island 1,X1401
Dallas - United States,Island 1,X1402
Dallas - United States,Island 1,X1403
Dallas - United States,Island 1,X1404
Dallas - United States,Island 1,X1405
Dallas - United States,Island 1,X1406
Dallas - United States,Island 1,X1407
Dallas - United States,Island 1,X1408
Dallas - United States,Island 1,X1409
Dallas - United States,Island 1,X1218
Dallas - United States,Island 1,X1217
Dallas - United States,Island 1,X1216
Dallas - United States,Island 1,X1215
Dallas - United States,Island 1,X1214
Dallas - United States,Island 1,X1213
Dallas - United States,Island 1,X1212
Dallas - United States,Island 1,X1211
Dallas - United States,Island 1,X1210
Dallas - United States,Island 1,X1418
Dallas - United States,Island 1,X1417
Dallas - United States,Island 1,X1416
Dallas - United States,Island 1,X1415
Dallas - United States,Island 1,X1414
Dallas - United States,Island 1,X1413
Dallas - United States,Island 1,X1412
Dallas - United States,Island 1,X1411
Dallas - United States,Island 1,X1410
Dallas - United States,Island 2,X2101
Dallas - United States,Island 2,X2102
Dallas - United States,Island 2,X2103
Dallas - United States,Island 2,X2104
Dallas - United States,Island 2,X2105
Dallas - United States,Island 2,X2106
Dallas - United States,Island 2,X2107
Dallas - United States,Island 2,X2108
Dallas - United States,Island 2,X2109
Dallas - United States,Island 2,X2301
Dallas - United States,Island 2,X2302
Dallas - United States,Island 2,X2303
Dallas - United States,Island 2,X2304
Dallas - United States,Island 2,X2305
Dallas - United States,Island 2,X2306
Dallas - United States,Island 2,X2307
Dallas - United States,Island 2,X2308
Dallas - United States,Island 2,X2309
Dallas - United States,Island 2,AGG2
Dallas - United States,Island 2,X2118
Dallas - United States,Island 2,X2117
Dallas - United States,Island 2,X2116
Dallas - United States,Island 2,X2115
Dallas - United States,Island 2,X2114
Dallas - United States,Island 2,X2113
Dallas - United States,Island 2,X2112
Dallas - United States,Island 2,X2111
Dallas - United States,Island 2,X2110
Dallas - United States,Island 2,X2318
Dallas - United States,Island 2,X2317
Dallas - United States,Island 2,X2316
Dallas - United States,Island 2,X2315
Dallas - United States,Island 2,X2314
Dallas - United States,Island 2,X2313
Dallas - United States,Island 2,X2312
Dallas - United States,Island 2,X2311
Dallas - United States,Island 2,X2310
Dallas - United States,Island 2,X2201
Dallas - United States,Island 2,X2202
Dallas - United States,Island 2,X2203
Dallas - United States,Island 2,X2204
Dallas - United States,Island 2,X2205
Dallas - United States,Island 2,X2206
Dallas - United States,Island 2,X2207
Dallas - United States,Island 2,X2208
Dallas - United States,Island 2,X2209
Dallas - United States,Island 2,X2401
Dallas - United States,Island 2,X2402
Dallas - United States,Island 2,X2403
Dallas - United States,Island 2,X2404
Dallas - United States,Island 2,X2405
Dallas - United States,Island 2,X2406
Dallas - United States,Island 2,X2407
Dallas - United States,Island 2,X2408
Dallas - United States,Island 2,X2409
Dallas - United States,Island 2,X2218
